province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,28.477,49.04,9.825,30.523,0.514,75.702,-2.951,5.7,294.372,87.504,101133.556,31.173,121.42
云南,临沧市,35.349,66.933,5.423,9.251,0.572,87.937,7.043,-0.599,295.084,43.107,83729.633,23.935,99.686
云南,丽江市,15.04,32.937,3.594,2.657,0.54,90.854,9.64,-0.249,287.02,58.538,74401.08,26.96,100.515
云南,保山市,39.82,76.734,6.375,13.008,0.663,71.984,6.928,0.05,292.222,54.2,81745.067,24.953,98.962
云南,大理白族自治州,21.818,48.612,4.012,3.679,0.427,89.826,9.8,-0.043,289.544,55.847,77944.863,25.726,100.053
云南,德宏傣族景颇族自治州,54.506,87.723,7.868,17.701,0.813,59.231,3.962,0.19,295.187,49.539,85891.635,24.535,98.052
云南,怒江傈僳族自治州,19.722,35.299,3.145,1.405,0.384,82.828,6.971,1.005,282.55,87.995,72735.873,26.916,98.885
云南,文山壮族苗族自治州,31.474,54.324,5.091,4.239,0.41,93.257,8.116,3.531,296.663,49.889,86091.167,23.696,104.735
云南,昆明市,21.168,44.67,5.153,7.029,0.404,100.136,11.76,0.704,292.146,42.058,78932.778,25.384,102.863
云南,昭通市,31.694,48.881,9.581,6.826,0.587,89.951,-0.297,-1.725,290.083,78.395,83606.509,27.667,103.985
云南,普洱市,33.471,62.607,3.858,11.217,0.432,89.927,5.885,0.228,297.057,39.068,85735.026,23.159,100.718
云南,曲靖市,17.972,27.584,5.846,6.638,0.319,91.764,10.181,0.346,293.052,40.049,79608.295,25.737,103.929
云南,楚雄彝族自治州,20.928,38.667,3.941,3.574,0.381,97.359,9.775,0.763,293.177,42.942,80701.343,25.328,101.567
云南,玉溪市,24.124,50.362,4.163,4.836,0.316,99.653,8.504,0.562,295.25,41.247,83208.175,24.136,102.217
云南,红河哈尼族彝族自治州,32.211,62.959,4.342,4.51,0.35,99.45,7.365,1.272,296.174,42.356,84860.346,23.451,103.034
云南,西双版纳傣族自治州,60.263,113.318,4.392,26.615,0.821,79.857,3.964,2.097,299.374,36.144,88674.328,21.939,100.912
云南,迪庆藏族自治州,13.121,26.692,4.065,0.982,0.309,90.858,8.746,1.446,279.124,86.018,67172.638,27.957,99.459
内蒙古,乌兰察布市,25.229,34.164,10.518,8.497,0.441,58.593,-2.64,1.795,279.717,84.849,86184.732,41.691,112.44
内蒙古,乌海市,33.614,95.825,33.539,28.209,0.952,83.732,-3.91,-1.836,289.696,44.631,87546.889,39.396,106.856
内蒙古,兴安盟,8.541,11.987,3.028,5.47,0.254,73.262,-1.732,-1.424,280.194,31.4,95973.527,46.244,121.341
内蒙古,包头市,20.001,29.35,7.591,7.736,0.411,60.71,-2.703,-1.212,282.146,77.872,86082.473,41.549,110.276
内蒙古,呼伦贝尔市,3.848,5.711,2.159,2.656,0.192,76.736,2.346,1.282,280.781,23.844,94602.375,49.636,121.171
内蒙古,呼和浩特市,23.049,40.66,10.948,16.488,0.788,72.711,-4.867,1.391,282.897,82.346,86417.461,40.578,111.513
内蒙古,巴彦淖尔市,15.115,21.638,4.288,4.19,0.229,54.596,-3.799,-3.651,284.573,59.792,87452.161,41.446,107.582
内蒙古,赤峰市,9.161,12.056,3.744,3.755,0.221,69.379,-6.218,-3.215,279.164,39.799,92717.284,43.226,118.892
内蒙古,通辽市,10.201,14.652,4.787,5.591,0.239,70.115,-5.443,-5.525,283.079,30.178,98802.03,43.814,121.591
内蒙古,鄂尔多斯市,25.864,48.623,15.306,13.872,0.627,80.316,-3.69,-0.378,287.221,66.335,86945.176,39.407,108.63
内蒙古,锡林郭勒盟,11.646,13.521,4.095,1.922,0.196,67.551,-5.925,1.385,278.266,54.811,89671.596,44.179,115.482
内蒙古,阿拉善盟,21.349,28.431,4.505,3.052,0.197,58.612,-2.932,-2.272,286.632,46.962,87609.832,40.473,102.467
北京,北京市,13.113,20.372,4.64,11.801,0.342,68.205,-2.76,-5.189,283.733,55.927,98250.124,40.158,116.395
台湾,台湾省,14.744,18.145,5.069,15.971,0.166,65.987,-0.939,0.744,294.719,69.567,92975.602,23.757,120.975
吉林,吉林市,8.769,10.215,2.751,4.23,0.296,79.714,-6.24,-3.412,282.745,33.877,98031.794,43.573,126.859
吉林,四平市,16.502,23.522,4.047,9.896,0.364,72.94,-6.973,-5.805,284.578,28.979,100230.298,43.472,124.386
吉林,延边朝鲜族自治州,8.764,11.079,2.659,4.282,0.274,81.885,-3.794,-3.146,280.338,35.427,95128.021,43.141,129.147
吉林,松原市,13.318,21.369,4.0,8.47,0.327,70.166,-5.578,-4.605,283.753,25.411,100867.009,44.785,124.496
吉林,白城市,12.896,17.34,3.973,7.793,0.263,69.803,-4.065,-4.212,283.568,25.96,101068.505,45.35,123.031
吉林,白山市,23.333,26.453,6.547,5.074,0.407,75.892,-4.809,-2.096,282.692,61.005,92911.869,42.063,127.256
吉林,辽源市,16.81,19.394,4.306,6.884,0.338,74.795,-6.498,-4.727,283.831,47.567,98225.886,42.836,125.32
吉林,通化市,29.158,33.806,7.842,7.94,0.517,71.926,-3.517,-2.678,284.641,63.197,96286.348,41.939,125.927
吉林,长春市,14.74,22.047,2.876,8.701,0.397,72.372,-6.044,-4.97,283.413,28.139,100326.093,44.268,125.611
四川,乐山市,36.684,48.953,7.367,13.542,0.561,82.068,-0.578,-2.075,292.011,75.934,88962.262,29.218,103.569
四川,内江市,35.212,54.691,7.618,15.462,0.614,80.532,0.407,-3.268,296.089,62.721,95805.235,29.62,104.95
四川,凉山彝族自治州,21.795,29.187,6.85,4.829,0.518,90.566,3.662,0.662,286.577,60.784,73851.622,27.883,102.065
四川,南充市,30.35,50.502,8.984,16.232,0.666,68.118,-1.299,-3.238,296.448,58.656,95781.514,31.19,106.199
四川,宜宾市,34.819,51.329,10.493,15.743,0.689,84.485,0.679,-1.569,295.057,72.481,94240.153,28.573,104.621
四川,巴中市,28.532,45.9,10.02,11.786,0.556,62.191,-6.004,-3.201,294.346,60.305,91695.584,32.033,107.031
四川,广元市,26.778,44.53,8.527,11.737,0.439,68.962,-3.104,-3.486,294.051,53.65,90871.292,32.261,105.788
四川,广安市,39.707,58.755,9.617,20.402,0.901,61.581,0.653,-2.48,295.747,69.697,95773.68,30.43,106.628
四川,德阳市,36.383,63.185,7.74,17.961,0.51,77.742,-1.238,-1.982,294.666,53.523,92382.3,31.13,104.436
四川,成都市,28.714,54.54,7.509,20.575,0.556,85.798,-0.375,-1.249,294.575,58.755,92539.97,30.64,103.929
四川,攀枝花市,21.552,37.001,15.143,16.976,0.97,88.26,7.527,2.394,294.262,39.045,81028.617,26.791,101.734
四川,泸州市,35.989,53.2,9.609,12.918,0.585,76.402,2.302,-2.059,293.325,81.804,92641.015,28.424,105.675
四川,甘孜藏族自治州,11.577,13.517,1.454,1.054,0.156,91.127,3.659,2.955,276.702,65.179,61052.16,30.936,100.009
四川,眉山市,30.068,49.907,6.598,17.922,0.573,83.311,-0.178,-1.914,294.585,64.27,92994.253,29.912,103.766
四川,绵阳市,32.823,47.243,5.999,9.609,0.372,85.664,-1.44,-2.754,291.545,57.362,87366.494,31.86,104.704
四川,自贡市,35.989,51.58,8.316,17.088,0.652,82.273,0.134,-2.946,296.565,61.552,95789.555,29.307,104.659
