province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon
上海,上海市,29.648,41.704,5.913,33.779,0.652,35.372,1.506,-6.535,277.669,86.4,103635.436,31.173,121.42
云南,临沧市,28.974,40.029,10.357,5.894,0.498,46.857,-3.181,3.153,282.203,90.662,84514.191,23.935,99.686
云南,丽江市,14.148,20.327,5.794,8.139,0.588,64.456,3.743,1.962,276.429,47.473,74987.343,26.96,100.515
云南,保山市,24.564,41.41,9.099,12.78,0.519,44.547,-1.125,1.516,281.526,80.412,82408.118,24.953,98.962
云南,大理白族自治州,18.052,30.712,8.504,6.453,0.476,54.943,1.608,3.02,278.541,80.056,78578.216,25.726,100.053
云南,德宏傣族景颇族自治州,26.729,42.249,10.409,13.448,0.467,47.053,-2.4,1.129,284.569,76.922,86653.379,24.535,98.052
云南,怒江傈僳族自治州,10.839,15.643,3.102,3.378,0.296,65.739,1.391,2.199,274.703,56.422,73084.031,26.916,98.885
云南,文山壮族苗族自治州,44.937,58.007,14.05,5.596,0.64,45.166,-0.554,-0.713,276.804,85.807,87422.988,23.696,104.735
云南,昆明市,26.169,38.918,9.088,13.18,0.773,44.007,3.689,2.527,277.789,86.151,79756.365,25.384,102.863
云南,昭通市,42.537,60.483,13.892,16.531,0.981,41.853,-0.281,-0.032,273.792,81.238,84840.681,27.667,103.985
云南,普洱市,20.455,33.313,9.658,3.419,0.548,44.309,-2.661,1.805,281.619,94.156,86701.813,23.159,100.718
云南,曲靖市,28.757,45.902,10.422,13.928,0.799,46.477,3.425,2.643,276.858,84.474,80558.558,25.737,103.929
云南,楚雄彝族自治州,20.818,32.314,8.881,5.352,0.572,51.288,1.654,3.873,279.315,87.031,81559.549,25.328,101.567
云南,玉溪市,25.99,40.321,11.668,7.631,0.806,41.921,-0.533,1.676,279.558,91.348,84174.503,24.136,102.217
云南,红河哈尼族彝族自治州,43.263,54.851,15.435,7.894,0.744,38.028,-1.628,0.678,278.918,92.441,85936.562,23.451,103.034
云南,西双版纳傣族自治州,13.235,25.171,9.717,3.926,0.689,33.397,-4.167,-0.648,282.558,91.67,89767.607,21.939,100.912
云南,迪庆藏族自治州,4.611,5.243,1.618,2.239,0.237,76.552,3.886,1.165,270.014,33.675,67404.958,27.957,99.459
内蒙古,乌兰察布市,38.122,60.438,27.719,31.564,1.161,23.091,0.42,2.086,257.408,68.537,86903.843,41.691,112.44
内蒙古,乌海市,44.514,96.755,35.954,35.956,1.168,23.649,5.034,-3.785,260.543,54.925,88812.056,39.396,106.856
内蒙古,兴安盟,9.377,11.885,4.707,5.155,0.298,49.212,4.114,-4.485,254.6,46.776,96691.634,46.244,121.341
内蒙古,包头市,42.566,60.434,25.232,33.076,1.004,23.94,0.24,0.668,257.731,74.418,86844.696,41.549,110.276
内蒙古,呼伦贝尔市,4.807,4.567,4.175,3.839,0.25,52.565,4.582,-2.014,249.808,62.866,95322.739,49.636,121.171
内蒙古,呼和浩特市,66.935,110.814,44.945,47.893,1.545,15.688,-0.573,1.354,259.959,71.049,87255.091,40.578,111.513
内蒙古,巴彦淖尔市,27.747,39.169,17.15,18.883,0.606,30.719,0.728,-1.013,258.23,66.05,88419.761,41.446,107.582
内蒙古,赤峰市,12.109,18.211,6.609,5.921,0.37,48.904,1.926,-3.022,257.107,53.048,93636.277,43.226,118.892
内蒙古,通辽市,14.951,20.073,6.439,7.769,0.38,40.232,2.692,-3.786,257.388,45.146,100188.263,43.814,121.591
内蒙古,鄂尔多斯市,45.689,81.631,30.403,33.457,0.941,24.373,2.597,-0.283,261.61,59.657,88024.111,39.407,108.63
内蒙古,锡林郭勒盟,7.924,10.969,6.154,4.99,0.285,46.41,-1.199,-0.909,254.491,66.993,90476.824,44.179,115.482
内蒙古,阿拉善盟,16.399,22.172,10.099,4.726,0.319,39.073,1.01,-0.26,259.783,61.696,88727.327,40.473,102.467
北京,北京市,37.576,58.635,8.26,43.36,0.829,16.409,-0.319,-0.237,263.897,33.625,100120.498,40.158,116.395
台湾,台湾省,7.238,12.611,3.763,9.86,0.229,61.677,-3.407,-6.117,288.25,78.756,93886.35,23.757,120.975
吉林,吉林市,62.522,77.565,11.218,23.828,0.9,38.126,2.739,-0.625,255.657,61.708,99176.328,43.573,126.859
吉林,四平市,49.122,63.855,8.16,18.797,0.75,32.805,1.78,-2.161,256.756,43.354,101800.168,43.472,124.386
吉林,延边朝鲜族自治州,24.997,32.708,8.741,11.773,0.493,47.877,6.111,-1.512,256.362,61.018,95660.82,43.141,129.147
吉林,松原市,40.035,47.08,8.099,12.924,0.487,33.564,3.322,-1.972,255.758,45.718,102179.116,44.785,124.496
吉林,白城市,27.156,34.346,8.248,10.843,0.417,37.988,2.821,-2.738,256.305,43.615,102349.831,45.35,123.031
吉林,白山市,40.829,56.202,16.287,21.423,0.709,39.098,0.948,-1.771,255.667,59.258,93726.234,42.063,127.256
吉林,辽源市,65.682,83.86,9.853,26.032,0.97,31.908,1.174,-1.789,257.028,55.319,99651.69,42.836,125.32
吉林,通化市,61.434,82.587,16.567,27.427,0.966,29.08,-0.076,-3.126,256.846,59.926,97583.704,41.939,125.927
吉林,长春市,61.9,75.015,9.37,21.818,0.82,33.976,3.219,-1.292,255.76,51.35,101640.304,44.268,125.611
四川,乐山市,64.851,75.391,10.047,16.766,0.843,33.647,0.058,-1.228,272.388,82.189,90732.267,29.218,103.569
四川,内江市,45.219,57.985,7.168,22.316,0.887,16.778,-2.397,-0.472,276.32,69.126,98264.16,29.62,104.95
四川,凉山彝族自治州,19.374,25.532,7.199,9.48,0.592,62.059,4.094,2.753,274.84,46.006,74462.031,27.883,102.065
四川,南充市,71.881,86.828,8.548,21.483,1.039,26.235,-3.259,-0.592,275.287,66.104,98375.248,31.19,106.199
