province,city,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon,date
上海,上海市,103.08,138.407,12.684,57.927,1.232,40.535,-2.493,-0.856,280.372,53.526,102779.083,31.173,121.42,20180101
上海,上海市,25.362,38.698,8.71,36.169,0.584,53.458,-5.361,1.52,283.512,75.938,102649.389,31.173,121.42,20180102
上海,上海市,22.131,36.607,8.132,23.08,0.614,61.207,-6.64,-7.236,282.172,81.234,102894.998,31.173,121.42,20180103
上海,上海市,9.158,13.807,6.476,24.024,0.57,51.276,-5.548,-6.841,280.164,86.93,102625.048,31.173,121.42,20180104
上海,上海市,25.118,33.035,8.452,35.144,0.759,40.409,0.186,-7.462,279.064,81.342,102451.353,31.173,121.42,20180105
上海,上海市,60.461,72.61,11.647,50.516,0.932,32.638,-1.48,-3.803,278.905,80.09,102486.647,31.173,121.42,20180106
上海,上海市,23.501,28.991,6.998,44.866,0.845,26.943,0.692,-0.197,282.15,87.83,101844.783,31.173,121.42,20180107
上海,上海市,90.057,106.944,14.466,45.224,1.322,34.848,10.391,-4.209,276.586,78.113,101955.271,31.173,121.42,20180108
上海,上海市,26.534,52.274,14.113,38.813,0.728,56.848,9.871,-2.896,274.456,50.061,102423.233,31.173,121.42,20180109
上海,上海市,32.168,65.306,16.501,47.764,0.764,42.744,8.922,-4.992,274.71,44.602,102792.858,31.173,121.42,20180110
上海,上海市,43.408,71.877,20.665,54.962,0.878,33.58,5.417,-6.339,273.652,37.118,103222.292,31.173,121.42,20180111
上海,上海市,31.65,51.725,17.248,50.563,0.868,30.247,4.485,-5.082,272.514,50.552,103449.829,31.173,121.42,20180112
上海,上海市,56.396,77.42,18.703,82.552,1.148,18.32,0.958,-1.683,274.816,37.53,103336.102,31.173,121.42,20180113
上海,上海市,31.281,44.668,11.183,53.281,0.621,37.421,-1.552,2.89,280.226,70.34,102810.398,31.173,121.42,20180114
上海,上海市,39.591,52.824,11.923,64.085,0.76,32.793,-3.188,0.155,282.816,86.299,102339.56,31.173,121.42,20180115
上海,上海市,67.013,84.723,10.573,68.802,0.881,17.658,0.971,-0.188,283.686,92.98,101678.668,31.173,121.42,20180116
上海,上海市,110.826,148.81,12.96,67.393,1.248,18.355,3.148,-2.055,281.01,82.075,101971.908,31.173,121.42,20180117
上海,上海市,87.146,123.006,12.319,52.544,0.933,36.57,-2.414,-2.604,281.167,80.368,102339.613,31.173,121.42,20180118
上海,上海市,126.495,156.791,14.884,65.6,1.226,33.395,-1.563,-2.021,281.972,81.563,102382.045,31.173,121.42,20180119
上海,上海市,93.935,115.854,13.866,64.063,1.095,31.86,-1.602,-1.511,280.954,80.886,102275.088,31.173,121.42,20180120
上海,上海市,45.712,62.634,10.239,48.796,0.761,49.788,-4.392,-2.072,281.451,83.37,101979.159,31.173,121.42,20180121
上海,上海市,44.443,58.936,10.625,58.06,0.872,44.782,2.554,-5.103,280.542,76.781,101914.369,31.173,121.42,20180122
上海,上海市,78.439,92.277,9.145,35.293,0.929,41.587,-2.33,-6.967,278.564,80.797,102414.068,31.173,121.42,20180123
上海,上海市,21.856,33.92,8.325,22.992,0.568,63.558,-2.026,-8.013,276.286,64.452,102813.49,31.173,121.42,20180124
上海,上海市,12.676,18.162,6.588,25.743,0.463,56.031,-5.198,-7.578,276.718,82.962,102780.581,31.173,121.42,20180125
上海,上海市,13.794,20.83,7.271,18.726,0.462,64.453,-2.264,-9.014,275.72,80.986,103052.596,31.173,121.42,20180126
上海,上海市,18.322,25.702,7.456,34.533,0.523,47.361,-3.501,-4.75,276.85,87.308,102707.533,31.173,121.42,20180127
上海,上海市,24.734,30.901,7.692,33.158,0.608,48.361,1.542,-6.927,276.489,92.285,102388.5,31.173,121.42,20180128
上海,上海市,98.304,112.107,20.19,44.044,1.191,60.407,5.825,-6.679,271.962,61.331,102862.728,31.173,121.42,20180129
上海,上海市,174.552,193.336,25.172,83.986,1.765,43.874,3.33,-4.038,273.077,55.378,102863.094,31.173,121.42,20180130
上海,上海市,177.48,209.422,24.992,103.711,1.777,26.344,3.048,-4.947,274.779,62.893,102803.184,31.173,121.42,20180131
上海,上海市,123.229,142.858,24.682,78.2,1.536,38.415,1.666,-6.164,276.088,60.318,102853.908,31.173,121.42,20180201
上海,上海市,106.138,134.686,25.308,83.873,1.34,39.706,3.56,-5.035,276.16,56.359,103060.354,31.173,121.42,20180202
上海,上海市,32.031,49.768,11.105,28.728,0.642,55.663,4.123,-8.334,273.386,69.26,103315.905,31.173,121.42,20180203
上海,上海市,38.149,54.646,15.826,38.533,0.745,52.497,3.896,-7.041,272.8,45.74,103339.002,31.173,121.42,20180204
上海,上海市,56.785,81.488,20.46,62.947,0.944,37.701,6.008,-4.096,274.085,37.138,103141.148,31.173,121.42,20180205
上海,上海市,36.558,52.923,13.862,47.175,0.752,42.268,3.431,-6.02,274.218,51.066,102994.67,31.173,121.42,20180206
上海,上海市,30.692,46.297,11.656,56.655,0.644,39.899,1.565,1.233,276.094,51.254,102672.693,31.173,121.42,20180207
上海,上海市,87.52,106.825,17.36,61.509,1.12,36.717,3.001,-3.073,275.038,44.22,102552.788,31.173,121.42,20180208
上海,上海市,61.814,75.402,11.497,50.954,0.819,53.062,-3.088,4.31,279.824,72.067,102155.851,31.173,121.42,20180209
上海,上海市,67.34,115.72,11.5,47.031,0.956,43.524,0.944,-5.856,279.679,76.026,102430.143,31.173,121.42,20180210
上海,上海市,41.979,124.421,13.073,38.869,0.792,59.764,5.935,-2.983,276.942,47.962,102883.977,31.173,121.42,20180211
上海,上海市,32.656,113.32,14.528,31.644,0.724,59.641,7.03,-3.904,275.19,25.43,103113.1,31.173,121.42,20180212
上海,上海市,37.099,66.274,18.004,45.082,0.766,61.314,1.362,2.924,278.119,40.807,102746.045,31.173,121.42,20180213
上海,上海市,38.979,72.409,10.888,40.373,0.732,78.616,0.443,5.223,283.854,60.073,102068.154,31.173,121.42,20180214
上海,上海市,38.06,61.619,9.118,24.85,0.635,69.548,-5.842,-5.158,281.683,83.765,102107.518,31.173,121.42,20180215
上海,上海市,21.249,30.318,6.502,20.868,0.487,64.476,-2.132,-4.064,279.556,87.374,102118.363,31.173,121.42,20180216
上海,上海市,40.196,53.621,10.049,22.64,0.691,74.606,-4.525,-2.346,279.39,71.636,102527.291,31.173,121.42,20180217
上海,上海市,14.964,25.184,5.922,17.418,0.414,79.186,-7.08,1.9,282.164,86.842,102127.424,31.173,121.42,20180218
上海,上海市,17.046,23.495,6.893,19.084,0.501,75.729,-4.266,-5.59,281.557,94.158,102086.518,31.173,121.42,20180219
上海,上海市,43.751,52.416,8.732,19.786,0.654,79.148,-4.704,-4.843,280.919,84.817,102185.073,31.173,121.42,20180220
上海,上海市,34.482,44.969,8.599,19.913,0.612,79.137,-3.294,-6.169,279.836,79.309,102367.925,31.173,121.42,20180221
上海,上海市,49.668,60.812,10.202,33.54,0.768,61.305,1.254,-1.268,279.443,70.18,102458.967,31.173,121.42,20180222
上海,上海市,49.087,60.928,9.856,32.596,0.772,62.811,0.106,4.661,280.56,69.016,102467.051,31.173,121.42,20180223
上海,上海市,36.474,45.937,8.508,25.304,0.595,82.862,-5.442,1.799,283.26,80.804,102422.258,31.173,121.42,20180224
上海,上海市,34.205,47.551,8.118,24.697,0.647,80.792,-2.46,-5.874,281.846,82.185,102514.997,31.173,121.42,20180225
上海,上海市,36.622,47.539,9.004,34.643,0.606,70.0,-2.209,0.664,280.461,75.549,102559.364,31.173,121.42,20180226
上海,上海市,32.973,44.63,9.032,25.189,0.546,92.255,-4.98,5.983,283.827,77.586,102059.552,31.173,121.42,20180227
上海,上海市,28.902,38.963,7.891,32.353,0.644,63.557,5.472,3.584,286.134,81.365,101040.856,31.173,121.42,20180228
上海,上海市,61.33,80.845,10.718,43.912,0.916,55.618,0.238,-3.853,282.023,73.67,101846.656,31.173,121.42,20180301
上海,上海市,15.128,27.13,5.59,20.355,0.398,77.446,-7.738,-0.122,280.606,87.19,101759.607,31.173,121.42,20180302
上海,上海市,27.568,37.789,6.781,32.271,0.571,66.984,-3.132,2.74,286.516,93.623,101173.543,31.173,121.42,20180303
上海,上海市,30.025,43.165,8.918,26.464,0.668,83.29,-3.124,7.263,290.68,85.934,100868.912,31.173,121.42,20180304
上海,上海市,18.424,36.728,12.406,23.016,0.53,63.453,0.973,-9.549,282.758,88.326,101760.57,31.173,121.42,20180305
上海,上海市,15.54,33.969,6.689,17.989,0.445,87.012,-6.292,-6.577,282.068,77.702,102790.67,31.173,121.42,20180306
上海,上海市,17.676,27.239,8.788,28.656,0.465,70.381,-4.864,-5.167,282.546,87.303,102316.49,31.173,121.42,20180307
上海,上海市,42.814,55.857,8.109,25.143,0.636,78.394,3.998,-9.288,280.49,75.371,102398.621,31.173,121.42,20180308
上海,上海市,42.508,57.484,10.553,38.958,0.694,62.992,1.971,-5.192,277.856,66.528,102763.918,31.173,121.42,20180309
上海,上海市,61.751,72.484,10.601,50.417,0.663,80.296,-1.124,2.542,280.485,63.54,102654.568,31.173,121.42,20180310
上海,上海市,54.0,69.064,10.31,46.976,0.624,85.981,-3.736,4.528,283.274,69.446,102565.859,31.173,121.42,20180311
